Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
3,15,18,4,B,H,Y,B,B,D,8,B,D,20,2,A,B,N,94,18,N,6,A,1,28,1,2,7,N,N,A,1,4
4,15,19,2,N,C,Y,B,B,D,12,B,B,10,3,A,I,N,10,14,N,16,A,1,22,1,2,1,Y,N,C,1,12
1,9,5,3,N,C,Y,B,B,D,8,B,B,15,1,A,B,N,93,17,N,10,A,2,40,1,11,6,Y,N,A,2,4
17,19,8,5,N,K,N,B,B,E,12,H,B,5,1,A,R,N,47,12,N,10,A,1,31,1,1,5,N,N,A,1,6
1,7,16,1,B,K,N,D,B,E,8,J,B,10,3,A,K,N,97,9,N,18,A,1,40,1,17,6,Y,N,E,1,11
2,7,15,2,B,A,Y,B,B,D,8,B,B,20,3,A,B,N,63,6,Y,2,A,2,37,1,12,4,Y,N,E,2,1
3,11,8,6,N,K,Y,B,B,E,7,J,B,10,2,A,R,N,15,25,N,14,A,3,40,1,15,7,N,N,A,3,2
4,15,15,2,N,H,Y,B,B,D,3,B,B,10,1,A,B,N,47,13,Y,4,A,2,31,1,18,6,Y,N,E,2,2
4,6,11,1,B,A,Y,B,B,D,7,B,B,20,3,A,B,N,62,8,N,9,A,2,31,1,1,6,Y,N,E,2,3
5,19,22,1,N,H,N,B,B,B,12,B,B,20,1,A,E,N,41,32,N,14,A,3,25,1,21,4,N,N,A,3,4
7,19,18,5,B,I,N,B,B,F,3,H,B,20,1,A,R,N,31,15,N,8,A,2,25,1,5,4,Y,N,D,6,5
5,4,7,5,H,B,Y,B,B,B,7,B,B,10,1,A,I,N,46,11,N,11,A,1,37,1,18,3,Y,N,E,1,5
1,15,11,2,N,C,N,B,B,D,8,B,B,20,1,A,B,N,40,10,Y,2,B,1,31,1,12,7,Y,N,E,1,1
1,7,5,3,B,A,Y,B,B,B,2,B,B,10,3,A,B,N,100,12,Y,21,A,2,34,1,7,1,Y,N,C,2,4
1,16,11,7,G,B,Y,B,C,D,12,B,B,15,1,A,D,N,67,10,Y,18,A,2,37,1,19,4,Y,N,D,2,8
1,1,12,1,C,K,N,B,B,E,3,J,B,20,2,N,K,N,29,18,N,20,A,2,40,1,21,4,N,N,E,2,7
1,17,2,2,N,A,N,D,B,D,8,B,B,10,2,A,B,N,45,7,Y,9,B,2,28,1,11,2,N,N,A,4,1
8,6,18,1,E,K,N,B,B,E,3,H,B,10,3,A,K,N,27,10,N,6,A,2,34,1,22,1,Y,N,E,2,3
4,10,18,1,W,C,N,B,B,D,8,B,B,20,3,A,I,N,44,16,N,4,B,2,37,1,17,7,Y,N,A,2,1
1,15,8,5,N,H,N,B,B,E,7,H,B,5,1,A,R,Y,75,11,N,12,B,2,25,1,1,5,Y,Y,E,2,1
4,16,18,2,N,B,N,B,B,D,7,B,B,10,3,C,I,Y,92,10,Y,9,A,2,31,1,16,3,Y,Y,E,2,2
2,17,15,1,S,I,Y,B,B,E,7,J,B,5,2,C,R,N,67,8,N,10,A,2,34,1,21,6,Y,N,E,2,11
1,3,4,3,C,K,N,B,B,E,3,H,B,10,1,N,R,N,38,10,N,2,A,2,40,1,17,3,N,N,A,3,1
2,9,8,6,B,H,Y,B,B,D,7,B,B,20,1,A,A,N,89,18,N,6,A,2,28,1,2,3,N,N,A,2,5
4,3,4,3,N,A,N,B,B,B,2,L,B,10,1,A,I,Y,47,13,N,6,A,2,37,1,6,4,Y,Y,E,2,3
14,19,20,5,W,I,N,B,B,E,8,J,B,5,1,A,K,N,42,7,N,14,A,2,22,1,21,6,Y,N,E,2,8
2,12,12,1,W,B,N,B,B,D,12,E,B,15,1,C,D,N,52,12,N,16,A,1,40,1,11,7,Y,N,D,1,3
4,9,17,1,B,C,N,B,B,D,7,B,B,20,1,A,E,N,88,12,Y,7,A,2,25,1,15,6,Y,N,E,4,2
1,19,2,2,B,I,N,B,B,F,2,H,B,15,3,A,R,N,7,18,Y,9,A,1,40,1,2,6,Y,N,E,1,2
5,5,6,4,B,I,Y,B,B,E,3,I,B,10,2,A,M,N,55,9,Y,4,A,2,40,1,18,4,Y,N,D,4,4
1,12,19,7,E,K,Y,B,B,E,12,H,B,10,1,A,K,Y,88,16,Y,16,A,2,22,1,5,1,Y,Y,E,2,7
1,6,5,2,B,K,N,B,B,E,2,J,B,15,3,A,J,N,52,10,N,5,A,2,31,1,12,4,Y,N,E,5,1
11,18,11,8,N,B,N,B,B,D,7,B,B,10,1,A,I,N,31,10,N,12,E,1,28,1,1,6,Y,N,C,2,8
8,19,19,6,N,C,Y,B,B,D,12,L,B,15,1,A,B,N,26,12,N,15,A,5,40,1,21,5,N,N,A,5,10
2,9,15,6,N,A,N,B,B,D,2,L,B,10,1,A,I,N,88,8,N,9,A,2,31,1,2,3,N,N,A,3,6
1,7,17,5,B,A,N,B,B,D,3,B,A,15,1,A,I,N,93,6,Y,19,A,1,34,1,17,7,N,N,E,1,11
7,7,8,3,N,K,Y,B,B,E,12,H,C,20,3,A,K,N,94,9,Y,17,A,3,25,1,12,4,Y,N,E,3,9
1,5,14,2,C,A,Y,B,B,D,12,B,B,20,3,A,B,N,41,10,N,9,B,2,31,1,14,7,Y,N,E,2,1
1,6,7,2,B,A,N,B,B,D,8,B,B,10,1,A,B,N,36,9,N,4,A,1,31,1,24,3,Y,N,E,1,1
31,19,17,5,N,K,N,B,B,E,3,J,B,15,1,A,R,N,84,8,N,14,A,2,37,1,20,6,Y,N,C,2,10
5,6,18,2,S,A,N,B,D,D,8,B,B,10,1,A,I,N,8,7,Y,15,A,2,37,1,19,6,Y,N,E,2,3
13,7,16,1,N,H,N,B,A,F,3,J,B,5,1,A,R,N,42,9,Y,4,B,2,31,1,21,5,N,N,B,1,10
2,4,18,3,B,H,N,B,B,D,3,A,B,10,3,A,A,Y,93,14,N,16,C,3,25,1,7,4,Y,Y,D,4,3
4,13,6,4,N,C,N,B,B,D,12,L,B,20,3,A,I,N,100,25,Y,15,A,2,34,1,12,4,Y,N,E,2,3
1,13,17,1,W,H,Y,B,B,E,3,H,B,20,2,A,K,N,44,12,Y,4,B,2,22,1,4,6,Y,N,C,2,1
1,2,18,5,C,A,Y,B,B,D,12,D,B,20,1,A,B,N,55,11,Y,12,A,2,40,1,24,6,Y,N,E,2,5
5,6,12,4,C,K,Y,B,B,E,12,H,B,20,2,A,K,N,100,7,N,18,A,2,31,1,18,3,Y,N,D,2,5
4,6,4,3,H,A,N,B,B,D,8,B,B,15,2,A,B,Y,83,6,N,13,C,2,31,1,1,6,Y,Y,E,4,1
4,18,19,6,W,K,Y,B,B,E,12,J,B,15,1,A,K,N,89,8,N,10,C,2,40,1,11,2,Y,N,E,4,1
1,9,3,2,N,B,Y,B,B,D,12,B,B,20,1,A,A,N,7,8,N,13,C,1,40,1,18,4,N,N,A,1,2
4,15,6,4,N,H,Y,B,B,D,3,B,B,15,1,A,B,N,40,16,N,7,C,2,37,1,18,5,Y,N,E,2,6
5,5,5,3,C,A,N,B,B,D,8,B,B,10,3,N,C,Y,76,8,N,10,C,2,40,1,16,2,Y,Y,E,2,3
1,6,15,1,N,A,Y,B,B,D,3,B,B,15,1,A,B,N,86,10,N,8,A,2,28,1,18,4,Y,N,D,4,5
5,6,9,6,B,A,Y,B,B,D,3,B,B,15,3,A,B,N,39,7,Y,13,A,2,40,1,25,7,Y,N,E,2,7
1,18,1,1,N,A,Y,B,B,D,8,B,B,20,3,A,A,N,53,6,N,6,B,2,40,1,19,5,N,N,E,2,1
1,16,18,4,B,K,Y,B,B,E,7,J,B,15,2,C,N,Y,92,11,N,22,A,7,34,1,17,4,Y,Y,C,7,11
1,3,6,4,N,H,N,B,B,D,3,B,B,10,1,A,B,Y,36,12,N,4,C,2,28,1,19,3,Y,Y,E,4,2
7,7,7,5,N,B,Y,B,B,D,3,B,B,20,3,A,E,N,77,6,Y,9,A,2,25,1,15,3,Y,N,C,3,1
7,11,2,1,N,K,Y,B,B,E,12,H,B,10,1,A,K,N,2,12,N,4,A,2,31,1,16,4,N,N,A,4,2
7,7,9,6,B,A,N,B,B,B,12,B,B,10,3,A,E,N,37,9,N,2,B,2,25,1,15,7,Y,N,E,2,1
1,19,18,4,N,A,Y,B,B,D,3,B,B,10,1,A,I,N,57,10,N,9,A,1,37,1,1,4,N,N,E,3,2
17,6,19,1,B,I,N,B,B,G,3,H,B,15,1,A,R,N,59,9,Y,14,A,1,40,1,1,5,Y,N,E,1,10
11,6,18,2,B,A,N,B,B,D,12,B,B,20,1,A,B,N,57,9,N,12,A,1,37,1,1,4,Y,N,D,1,4
10,10,8,6,N,C,N,B,B,D,8,E,A,20,1,A,I,N,29,15,N,3,B,2,22,1,5,3,Y,N,C,3,1
2,9,13,3,B,I,Y,B,D,E,2,J,B,10,3,A,K,N,91,16,N,5,A,2,40,1,8,4,Y,N,C,4,4
1,5,2,1,B,I,N,B,B,F,2,H,B,15,3,A,R,N,48,10,Y,17,A,1,40,1,17,6,Y,N,E,1,12
1,18,17,2,N,K,N,B,B,E,8,H,D,5,2,A,R,Y,85,7,N,6,A,2,34,1,20,6,Y,Y,E,5,2
1,2,17,3,C,A,N,B,B,D,12,B,B,10,2,A,E,Y,100,8,N,21,A,2,25,1,6,1,Y,Y,E,4,8
4,2,20,1,C,B,Y,D,B,B,7,B,B,20,3,A,E,N,54,24,N,9,A,4,31,1,24,5,Y,N,E,2,1
1,12,18,1,E,H,Y,B,B,D,3,B,B,15,2,A,A,N,12,18,N,9,A,1,34,1,21,6,N,N,B,1,1
1,15,18,1,N,H,N,B,B,D,3,B,B,5,1,A,A,N,17,11,N,17,B,2,37,1,13,6,N,N,A,2,1
1,18,18,1,B,B,Y,B,D,D,3,B,B,15,2,A,I,N,26,7,N,11,B,2,37,1,8,6,N,N,E,2,1
2,14,2,1,N,C,N,B,B,D,3,L,B,15,3,A,I,N,38,21,Y,13,A,2,37,1,17,3,Y,N,E,2,2
1,12,21,1,W,C,Y,B,B,D,2,L,B,5,1,A,D,N,65,16,Y,3,B,2,37,1,5,6,N,N,A,2,1
1,13,21,5,N,C,Y,B,B,D,8,L,B,10,1,A,I,N,67,12,N,22,A,1,25,1,20,4,Y,N,E,1,5
2,12,20,4,W,A,Y,B,B,D,8,L,B,5,1,A,E,Y,61,12,Y,4,A,2,40,2,3,7,Y,Y,E,3,2
1,17,14,4,B,A,N,B,B,D,12,B,B,20,1,A,I,N,49,9,N,2,B,2,25,1,16,5,Y,N,E,2,1
1,12,16,4,N,H,N,B,B,F,3,H,D,15,1,A,K,N,28,10,N,4,B,2,31,1,5,4,N,N,A,3,1
1,2,4,3,C,A,Y,B,B,D,8,B,B,20,1,N,B,Y,70,11,N,10,C,2,37,1,8,7,Y,Y,E,2,1
6,2,8,4,N,K,N,B,B,E,12,H,B,15,1,A,R,N,36,25,Y,7,A,2,40,1,25,5,Y,N,E,2,1
17,15,24,4,N,H,Y,B,B,E,3,H,B,15,1,A,J,N,31,15,N,5,E,2,34,1,1,4,Y,N,C,6,1
8,1,15,3,N,K,N,B,C,E,8,H,B,15,1,A,R,N,40,16,N,13,A,3,34,1,21,5,Y,N,D,2,4
4,11,2,1,G,K,N,B,C,E,7,H,B,5,1,A,K,N,88,13,Y,5,A,2,40,1,1,7,Y,N,E,2,1
13,16,7,4,B,K,Y,B,B,E,3,H,B,10,3,A,R,Y,84,13,N,11,A,3,31,1,5,6,Y,N,E,3,2
1,17,3,2,N,K,Y,B,B,E,3,M,B,15,3,A,R,N,34,8,N,3,A,2,22,1,15,1,N,N,A,4,2
1,7,15,2,B,K,N,B,D,E,7,J,B,20,3,A,J,N,43,9,N,12,A,1,31,1,18,3,Y,N,D,1,8
10,17,12,2,N,H,N,B,B,E,3,J,B,20,1,A,K,N,54,8,N,5,E,2,34,1,1,3,Y,N,B,4,2
4,18,19,1,N,H,N,B,B,E,7,J,B,20,1,A,K,N,37,12,N,2,B,2,25,1,5,1,N,N,A,2,1
7,7,6,4,B,H,Y,B,B,F,12,J,B,10,1,A,R,N,50,8,Y,11,B,1,22,1,8,3,N,N,A,1,1
1,16,5,4,N,A,N,B,B,D,12,B,B,20,1,A,B,N,40,8,N,5,B,4,28,1,1,6,N,N,A,6,1
1,17,10,3,N,B,N,B,B,D,12,B,B,10,3,A,I,N,49,8,N,7,A,1,25,1,16,6,N,N,C,1,3
10,18,2,2,N,K,Y,B,C,E,12,H,B,20,1,A,J,N,88,9,N,15,A,2,34,1,20,2,Y,N,E,2,2
1,2,19,4,C,K,N,B,D,F,2,H,B,10,2,A,R,N,56,20,N,8,A,2,34,1,24,2,Y,N,E,2,1
1,11,21,3,N,K,N,B,B,E,12,J,D,10,1,A,K,N,88,21,N,16,A,2,34,1,12,5,Y,N,E,2,10
1,5,20,1,N,K,Y,B,B,E,8,H,B,20,1,A,K,N,66,8,N,4,A,2,22,1,18,7,N,N,A,2,1
4,10,13,1,N,C,Y,B,A,D,3,L,B,15,1,A,I,N,28,14,N,4,A,2,40,1,1,6,Y,N,E,3,1
2,11,16,4,W,I,N,B,B,E,3,H,B,10,1,A,J,N,59,12,N,9,A,2,40,1,4,3,Y,N,E,2,1
1,10,4,3,N,C,N,B,B,D,3,L,B,15,1,A,I,N,22,11,N,14,B,2,40,1,17,4,Y,N,E,2,1
6,18,6,4,N,K,Y,B,B,E,8,H,B,10,2,A,R,N,33,10,N,10,A,3,28,1,17,6,Y,N,E,5,7
3,14,18,1,N,K,N,B,B,F,12,H,B,10,2,A,K,N,35,11,Y,10,A,2,22,1,1,7,Y,N,E,2,1
1,16,18,4,B,K,Y,B,B,E,8,J,B,20,3,A,M,N,46,13,N,10,C,3,25,1,13,6,Y,N,E,3,1
4,10,8,3,N,K,Y,B,B,F,12,J,B,20,1,A,M,Y,27,11,Y,4,A,2,25,1,13,7,Y,Y,E,2,3
2,7,14,2,B,A,N,B,B,D,8,B,B,20,1,A,B,Y,92,8,Y,7,A,2,28,1,17,3,Y,Y,E,2,1
1,13,13,2,N,H,Y,B,B,E,3,J,B,20,1,A,K,Y,89,12,Y,19,E,2,40,1,1,4,N,Y,C,4,1
1,8,11,3,N,K,N,B,B,E,12,H,B,15,1,A,L,N,74,17,Y,14,A,2,40,1,12,6,N,N,A,2,7
1,10,18,5,N,C,Y,B,B,D,8,L,B,20,1,A,I,Y,51,16,N,9,C,1,31,1,9,3,Y,Y,E,3,1
1,4,4,3,B,A,Y,B,D,D,8,B,B,10,1,A,B,Y,64,8,N,6,A,2,34,1,19,6,Y,Y,E,2,3
1,19,11,2,N,A,Y,B,B,B,12,B,B,15,1,A,B,N,51,13,N,5,A,2,34,1,16,6,N,N,A,3,1
4,2,2,1,C,B,N,B,B,D,2,B,B,15,1,N,B,N,41,12,N,2,B,2,28,1,14,5,Y,N,E,2,1
5,2,15,4,N,A,Y,B,B,D,8,F,B,15,3,S,B,N,49,11,Y,8,C,2,40,1,23,3,Y,N,E,3,1
7,16,8,3,B,A,Y,B,B,D,2,B,B,15,1,A,B,N,41,10,N,12,A,2,31,1,11,2,Y,N,C,2,2
2,9,1,1,N,C,Y,B,B,D,3,B,B,15,1,A,I,N,76,10,N,7,B,2,37,1,4,4,N,N,A,3,1
2,6,6,4,B,A,N,B,B,D,12,B,B,15,2,A,B,Y,56,6,N,13,A,2,37,1,1,1,Y,Y,C,4,4
11,8,11,2,N,K,Y,B,C,E,2,H,B,15,1,A,R,N,97,11,N,9,A,3,40,1,11,6,Y,N,E,5,3
1,2,11,1,C,H,N,B,B,E,2,K,B,15,1,A,R,N,55,11,N,9,D,2,34,1,24,2,Y,N,E,2,1
2,12,10,7,N,H,N,C,B,E,12,J,B,10,1,A,R,N,54,10,N,4,B,1,22,1,8,3,N,N,A,1,1
1,6,17,2,B,I,Y,B,B,E,8,H,B,15,1,A,R,N,49,11,N,12,A,2,40,1,14,5,Y,N,E,2,1
2,10,12,2,H,H,N,B,B,E,8,H,B,20,1,A,K,Y,26,23,N,3,B,3,31,3,1,5,Y,Y,E,3,1
1,6,19,1,B,A,N,B,B,D,3,B,B,15,1,A,B,Y,42,11,N,13,A,1,25,1,19,2,Y,Y,E,1,6
3,7,11,7,B,A,Y,B,B,D,3,B,B,10,1,A,B,N,70,9,N,9,A,1,40,1,16,5,Y,N,D,1,1
7,5,8,6,C,K,N,B,B,E,3,H,B,15,1,N,K,N,41,8,N,7,A,3,40,1,25,3,Y,N,E,3,1
4,17,20,8,W,I,N,B,B,E,12,J,B,20,1,A,K,N,52,8,N,11,A,2,40,1,17,4,Y,N,E,2,8
2,6,13,4,B,A,Y,B,B,D,2,B,B,20,1,A,B,Y,56,10,N,11,A,2,40,1,18,6,Y,Y,E,2,3
1,11,15,4,W,A,N,B,B,D,3,L,B,5,1,A,I,Y,87,9,N,9,C,2,34,2,21,3,Y,Y,E,4,5
6,19,17,4,B,C,Y,B,B,D,12,B,B,10,1,A,I,N,38,16,N,4,B,2,31,1,7,7,N,N,A,2,1
11,6,17,2,B,I,N,B,B,E,12,H,B,5,4,A,R,Y,57,8,N,6,A,2,31,1,1,6,Y,Y,E,2,2
3,14,21,1,N,C,N,B,B,D,8,L,B,15,3,A,D,N,56,23,N,5,A,2,31,1,17,3,Y,N,E,4,3
8,8,8,5,N,C,N,B,B,D,3,B,B,20,1,A,B,N,51,12,N,9,A,2,31,1,15,6,Y,N,D,4,6
3,6,19,1,B,A,N,B,B,D,3,B,B,15,1,A,A,N,77,9,N,4,A,1,25,1,16,1,N,N,A,2,1
4,17,4,3,N,A,N,B,B,D,12,B,B,5,2,A,B,N,51,8,N,8,A,2,31,1,1,7,Y,N,C,4,2
1,1,17,1,C,A,N,B,B,D,2,B,B,10,2,A,B,N,29,12,Y,5,B,2,34,1,21,6,N,N,E,2,5
1,19,6,3,N,C,Y,B,B,D,8,A,B,10,1,A,B,N,50,16,N,4,B,2,37,1,4,5,N,N,A,2,1
3,4,13,2,B,I,N,B,B,E,2,H,B,10,3,A,K,Y,91,8,N,13,A,2,31,1,5,2,Y,Y,E,3,3
1,1,6,5,C,A,N,B,A,B,8,B,B,10,3,N,B,N,42,14,Y,7,A,2,31,1,21,6,Y,N,D,2,2
6,5,9,6,C,A,N,A,B,B,3,B,B,15,1,N,B,N,93,11,N,9,C,2,34,1,3,4,Y,N,E,2,1
1,3,6,4,N,C,Y,B,B,D,12,B,B,10,1,A,B,N,55,12,N,6,A,2,37,1,18,3,Y,N,E,2,2
1,2,5,7,C,K,N,B,B,E,8,H,B,10,3,N,N,N,48,12,Y,15,A,1,37,1,23,5,Y,N,E,2,2
1,18,4,3,G,K,Y,B,B,E,12,H,B,15,2,A,R,Y,74,17,N,9,A,2,37,1,15,6,Y,Y,E,2,4
1,3,7,5,N,C,Y,B,B,D,8,B,A,10,1,A,B,N,33,10,N,5,B,2,40,1,5,6,N,N,A,4,1
4,5,3,2,C,A,Y,B,B,D,3,B,B,20,1,N,B,N,12,9,N,3,B,2,22,1,4,2,N,N,A,2,1
4,6,15,5,S,I,N,B,B,E,12,J,B,15,1,A,R,Y,89,6,N,15,A,4,34,2,3,2,Y,Y,E,4,6
1,12,19,2,B,C,Y,B,B,D,3,L,B,10,3,A,D,N,51,19,Y,8,B,3,40,1,1,6,N,N,A,4,1
4,5,21,5,B,A,N,B,B,D,8,B,B,15,1,A,I,Y,75,9,N,7,C,4,28,1,12,4,Y,Y,E,4,1
5,2,18,3,N,K,Y,B,B,E,8,J,B,15,1,A,R,Y,94,12,N,22,A,4,22,1,11,1,Y,Y,E,4,10
1,19,2,2,N,H,N,B,B,E,3,J,A,10,1,A,K,N,17,16,Y,7,B,2,25,1,3,7,N,N,A,4,1
5,19,17,3,W,H,Y,A,B,D,3,B,B,5,1,A,E,N,34,17,N,14,A,4,40,1,17,6,Y,N,D,5,11
1,1,17,2,C,A,N,B,B,D,8,B,B,20,3,D,B,N,38,13,Y,4,A,2,31,1,21,7,Y,N,D,2,11
6,10,7,5,N,H,N,B,B,F,12,M,B,15,1,A,R,N,40,17,N,12,B,2,37,1,3,6,Y,N,E,2,1
4,11,18,3,W,C,N,B,B,D,12,B,B,20,1,A,D,N,51,12,N,3,B,2,31,1,18,4,N,N,A,2,1
2,17,6,4,N,B,Y,D,B,B,3,B,B,10,3,A,B,Y,82,9,Y,13,A,2,31,1,8,1,Y,Y,E,5,4
4,4,5,4,N,A,N,B,B,D,3,B,B,10,3,A,B,N,32,6,Y,9,A,1,40,1,17,1,Y,N,E,1,1
1,13,20,1,W,C,N,B,B,D,8,L,B,10,1,A,D,N,65,14,N,7,B,2,37,1,16,5,Y,N,E,2,1
1,9,5,2,N,A,N,B,B,D,7,L,B,15,3,A,I,N,10,12,N,8,A,1,37,1,14,7,N,N,A,1,5
5,8,21,2,H,A,Y,B,B,D,7,L,B,10,1,A,D,N,94,22,N,10,A,1,37,1,1,1,N,N,A,1,8
25,10,15,1,N,C,N,B,C,D,8,L,B,10,1,C,I,N,19,10,N,9,A,2,37,1,4,4,N,N,E,3,4
4,13,21,1,B,A,Y,B,B,D,7,L,D,10,2,H,I,N,46,14,Y,7,A,2,37,1,5,3,Y,N,E,2,2
2,16,17,3,N,H,N,B,B,D,3,L,B,10,1,A,E,Y,75,13,N,9,A,3,40,1,18,3,Y,Y,C,5,3
1,14,15,4,N,C,Y,A,B,D,7,B,B,15,2,A,I,Y,99,13,N,19,A,2,34,1,20,6,Y,Y,E,2,4
5,10,13,4,N,C,Y,B,B,D,2,L,B,20,2,A,I,Y,71,22,N,9,A,2,37,2,7,7,Y,Y,E,2,1
7,5,5,4,B,I,N,B,B,F,12,H,B,10,2,A,R,N,21,9,Y,8,A,2,31,1,7,3,Y,N,E,2,4
1,5,4,3,S,K,N,B,B,E,3,H,B,5,3,A,K,Y,62,5,N,11,C,2,28,1,16,2,Y,Y,E,2,1
1,12,5,4,N,H,Y,B,B,E,3,H,B,20,1,A,K,N,30,11,N,5,B,2,25,1,10,7,N,N,A,5,1
10,15,9,6,N,K,N,B,B,E,3,H,B,15,1,A,R,Y,24,15,N,2,A,2,37,1,2,6,Y,Y,E,2,3
3,10,10,2,N,C,N,B,B,D,7,L,B,10,1,A,I,N,23,11,N,16,A,1,25,1,19,3,Y,N,E,1,11
1,18,4,3,N,A,Y,B,A,D,7,L,B,10,1,A,I,Y,96,11,N,14,A,2,37,1,22,7,Y,Y,D,2,2
7,17,17,6,B,K,Y,B,C,E,3,H,B,20,1,A,R,Y,98,9,N,18,C,2,34,1,11,6,Y,Y,D,4,1
1,15,23,4,N,C,Y,B,B,D,3,B,B,10,1,A,J,N,76,19,Y,4,B,1,40,1,20,3,N,N,A,1,1
1,2,17,4,C,A,N,B,B,D,7,B,B,10,2,A,B,N,48,12,Y,6,A,3,31,1,23,4,Y,N,E,2,4
5,16,15,2,B,K,N,B,B,E,7,H,C,20,1,A,R,Y,67,11,N,7,C,1,31,1,20,6,Y,Y,E,1,1
1,9,15,6,W,I,Y,D,B,E,3,H,B,20,1,A,P,N,85,11,N,11,A,4,28,1,6,4,Y,N,C,4,8
2,15,15,4,N,K,N,B,B,E,12,H,B,10,1,A,N,N,53,13,N,12,A,2,40,1,8,4,N,N,A,2,11
4,19,7,5,N,B,Y,B,B,D,8,B,B,10,1,A,B,Y,74,12,N,10,C,2,28,1,16,7,Y,Y,C,2,4
11,19,21,5,N,C,Y,B,A,D,7,L,B,10,1,A,I,Y,92,24,Y,15,A,3,40,1,10,7,Y,Y,E,3,11
1,11,13,2,E,K,Y,B,B,E,2,H,B,20,1,A,J,N,42,22,N,11,A,1,40,2,14,3,Y,N,C,1,10
7,11,12,5,N,H,Y,B,B,D,2,L,C,10,1,C,I,N,54,11,Y,12,C,2,40,1,18,4,Y,N,E,2,1
1,12,15,2,H,C,Y,B,B,D,7,B,B,10,1,A,E,N,63,19,N,3,B,2,40,1,5,5,N,N,A,2,1
1,19,7,5,G,H,N,B,B,E,12,H,B,15,2,A,K,N,98,11,Y,12,E,2,40,1,1,7,N,N,B,2,2
2,7,17,3,B,A,Y,B,B,D,12,B,B,10,1,A,I,Y,84,9,Y,11,A,2,22,1,20,7,Y,Y,E,2,3
2,2,17,2,C,A,Y,B,B,C,8,B,B,20,2,A,A,N,60,16,N,10,A,3,34,1,25,6,Y,N,E,2,11
16,10,1,1,W,C,Y,B,B,D,2,L,C,15,1,A,D,N,24,12,N,9,A,2,31,1,9,6,Y,N,E,2,3
5,19,24,5,N,C,N,B,B,D,8,B,B,10,1,S,E,Y,58,19,Y,12,A,2,34,1,21,6,N,N,A,4,5
4,1,22,2,C,K,Y,B,B,E,8,J,B,15,3,A,K,N,40,24,N,7,A,2,22,1,21,6,Y,N,D,4,7
6,5,10,5,B,K,Y,B,B,E,8,J,B,15,1,A,R,Y,78,8,N,15,A,1,37,1,8,3,Y,Y,E,1,3
5,9,19,5,E,A,Y,C,C,D,2,L,B,10,1,A,F,N,86,12,N,15,A,2,40,1,6,4,N,N,E,2,1
19,12,1,1,N,H,Y,B,B,E,2,J,B,10,1,A,J,N,70,14,N,3,B,1,31,1,1,7,N,N,A,1,1
4,5,5,4,N,A,Y,B,B,D,8,D,B,15,1,A,B,Y,87,9,N,14,A,2,37,1,4,5,Y,Y,E,2,3
4,15,9,2,N,K,N,B,B,F,3,H,B,10,1,A,R,N,44,12,Y,13,A,2,37,1,21,5,N,N,A,2,6
2,7,17,4,B,A,N,B,B,D,2,B,B,15,1,A,B,N,67,8,N,6,A,2,31,1,15,6,Y,N,E,4,1
1,15,12,4,N,H,N,B,B,D,8,A,B,20,1,A,A,N,74,14,Y,3,A,3,31,1,24,6,Y,N,C,3,2
1,7,5,3,B,A,N,B,B,B,12,A,B,20,3,A,B,N,88,11,Y,18,A,1,31,1,6,7,Y,N,E,1,4
1,4,9,2,N,A,Y,B,B,D,8,B,B,20,2,A,B,Y,76,7,Y,13,C,2,40,1,2,6,Y,Y,D,2,2
1,4,6,4,N,A,Y,B,B,D,2,B,B,15,3,A,B,N,70,7,N,10,A,2,40,1,16,2,Y,N,E,3,5
4,5,19,4,S,I,Y,B,B,F,7,H,B,20,1,A,K,Y,87,8,N,13,A,1,40,1,3,5,Y,Y,E,1,4
1,19,3,2,N,H,Y,B,B,D,2,B,B,15,1,A,A,N,45,10,Y,3,B,2,31,1,15,6,N,N,A,2,1
1,10,20,4,N,K,N,B,B,E,8,H,B,15,1,A,R,N,33,20,N,4,C,1,31,2,17,6,Y,N,E,1,1
4,7,6,4,N,K,N,B,B,E,3,H,B,15,3,A,R,N,90,8,N,8,A,3,37,1,24,7,Y,N,D,4,7
1,11,18,2,N,K,Y,B,B,E,8,H,B,15,1,A,R,N,53,13,Y,8,A,1,40,1,21,3,N,N,A,1,2
18,10,15,5,N,K,Y,B,C,E,3,H,B,10,1,C,R,N,22,9,Y,7,A,2,28,1,13,4,Y,N,E,4,11
5,7,17,4,B,I,N,B,B,F,2,J,B,20,3,A,N,N,84,7,N,19,A,2,40,1,13,7,Y,N,E,2,12
5,8,4,3,N,K,N,B,B,E,3,H,B,20,1,A,R,N,81,14,N,14,A,2,34,1,7,6,Y,N,C,2,3
7,13,20,3,N,C,N,B,B,D,7,B,D,15,1,A,A,N,82,28,N,8,A,2,37,1,17,5,Y,N,E,4,6
4,5,19,4,N,A,N,B,B,D,12,B,B,15,2,A,I,N,88,8,Y,4,A,2,31,1,8,4,Y,N,E,2,1
1,18,3,2,N,H,N,B,B,D,8,B,B,10,3,A,I,Y,84,10,N,20,A,2,37,1,13,4,Y,N,C,2,3
